   Elapsed time	  ECG I	iltered
       0:00.326	  0.140	  0.060
       0:00.328	  0.130	  0.060
       0:00.330	  0.105	  0.060
       0:00.332	  0.100	  0.065
       0:00.334	  0.100	  0.065
       0:00.336	  0.130	  0.070
       0:00.338	  0.140	  0.070
       0:00.340	  0.135	  0.070
       0:00.342	  0.150	  0.075
       0:00.344	  0.145	  0.075
       0:00.346	  0.130	  0.075
       0:00.348	  0.125	  0.075
       0:00.350	  0.125	  0.070
       0:00.352	  0.115	  0.070
       0:00.354	  0.120	  0.070
       0:00.356	  0.125	  0.070
       0:00.358	  0.140	  0.065
       0:00.360	  0.140	  0.065
       0:00.362	  0.150	  0.065
       0:00.364	  0.145	  0.065
       0:00.366	  0.140	  0.065
       0:00.368	  0.135	  0.065
       0:00.370	  0.140	  0.060
       0:00.372	  0.125	  0.060
       0:00.374	  0.125	  0.060
       0:00.376	  0.135	  0.065
       0:00.378	  0.145	  0.065
       0:00.380	  0.145	  0.065
       0:00.382	  0.140	  0.070
       0:00.384	  0.135	  0.070
       0:00.386	  0.120	  0.075
       0:00.388	  0.120	  0.075
       0:00.390	  0.110	  0.075
       0:00.392	  0.115	  0.075
       0:00.394	  0.120	  0.070
       0:00.396	  0.135	  0.070
       0:00.398	  0.135	  0.065
       0:00.400	  0.130	  0.065
       0:00.402	  0.135	  0.060
       0:00.404	  0.130	  0.055
       0:00.406	  0.110	  0.055
       0:00.408	  0.110	  0.055
       0:00.410	  0.110	  0.050
       0:00.412	  0.105	  0.050
       0:00.414	  0.115	  0.050
       0:00.416	  0.125	  0.050
       0:00.418	  0.130	  0.050
       0:00.420	  0.115	  0.045
       0:00.422	  0.120	  0.045
       0:00.424	  0.115	  0.045
       0:00.426	  0.105	  0.040
       0:00.428	  0.100	  0.035
       0:00.430	  0.105	  0.035
       0:00.432	  0.090	  0.030
       0:00.434	  0.100	  0.030
       0:00.436	  0.105	  0.025
       0:00.438	  0.110	  0.025
       0:00.440	  0.120	  0.030
       0:00.442	  0.135	  0.030
       0:00.444	  0.120	  0.035
       0:00.446	  0.110	  0.040
       0:00.448	  0.095	  0.045
       0:00.450	  0.100	  0.045
       0:00.452	  0.095	  0.045
       0:00.454	  0.100	  0.045
       0:00.456	  0.110	  0.045
       0:00.458	  0.110	  0.045
       0:00.460	  0.115	  0.045
       0:00.462	  0.115	  0.045
       0:00.464	  0.095	  0.050
       0:00.466	  0.080	  0.050
       0:00.468	  0.075	  0.050
       0:00.470	  0.070	  0.050
       0:00.472	  0.070	  0.045
       0:00.474	  0.075	  0.040
       0:00.476	  0.090	  0.035
       0:00.478	  0.085	  0.030
       0:00.480	  0.100	  0.020
       0:00.482	  0.125	  0.020
       0:00.484	  0.110	  0.020
       0:00.486	  0.105	  0.020
       0:00.488	  0.075	  0.025
       0:00.490	  0.080	  0.035
       0:00.492	  0.065	  0.040
       0:00.494	  0.075	  0.040
       0:00.496	  0.080	  0.045
       0:00.498	  0.090	  0.045
       0:00.500	  0.100	  0.040
       0:00.502	  0.115	  0.035
       0:00.504	  0.105	  0.030
       0:00.506	  0.090	  0.025
       0:00.508	  0.085	  0.025
       0:00.510	  0.090	  0.030
       0:00.512	  0.085	  0.030
       0:00.514	  0.095	  0.035
       0:00.516	  0.110	  0.045
       0:00.518	  0.135	  0.050
       0:00.520	  0.130	  0.055
       0:00.522	  0.135	  0.060
       0:00.524	  0.125	  0.060
       0:00.526	  0.120	  0.060
       0:00.528	  0.110	  0.065
       0:00.530	  0.105	  0.060
       0:00.532	  0.095	  0.060
       0:00.534	  0.110	  0.060
       0:00.536	  0.140	  0.055
       0:00.538	  0.135	  0.055
       0:00.540	  0.140	  0.050
       0:00.542	  0.140	  0.045
       0:00.544	  0.130	  0.045
       0:00.546	  0.125	  0.040
       0:00.548	  0.120	  0.045
       0:00.550	  0.105	  0.050
       0:00.552	  0.100	  0.055
       0:00.554	  0.120	  0.060
       0:00.556	  0.150	  0.070
       0:00.558	  0.160	  0.075
       0:00.560	  0.160	  0.080
       0:00.562	  0.170	  0.085
       0:00.564	  0.160	  0.080
       0:00.566	  0.120	  0.075
       0:00.568	  0.115	  0.070
       0:00.570	  0.115	  0.065
       0:00.572	  0.095	  0.055
       0:00.574	  0.095	  0.050
       0:00.576	  0.100	  0.045
       0:00.578	  0.095	  0.040
       0:00.580	  0.090	  0.040
       0:00.582	  0.090	  0.035
       0:00.584	  0.085	  0.030
       0:00.586	  0.055	  0.020
       0:00.588	  0.065	  0.015
       0:00.590	  0.060	  0.010
       0:00.592	  0.065	  0.010
       0:00.594	  0.075	  0.005
       0:00.596	  0.080	  0.005
       0:00.598	  0.080	  0.010
       0:00.600	  0.095	  0.015
       0:00.602	  0.075	  0.015
       0:00.604	  0.055	  0.020
       0:00.606	  0.050	  0.020
       0:00.608	  0.045	  0.020
       0:00.610	  0.035	  0.020
       0:00.612	  0.045	  0.020
       0:00.614	  0.045	  0.015
       0:00.616	  0.055	  0.015
       0:00.618	  0.060	  0.015
       0:00.620	  0.060	  0.010
       0:00.622	  0.060	  0.010
       0:00.624	  0.060	  0.005
       0:00.626	  0.050	  0.005
       0:00.628	  0.035	  0.000
       0:00.630	  0.020	 -0.005
       0:00.632	  0.025	 -0.010
       0:00.634	  0.035	 -0.010
       0:00.636	  0.045	 -0.010
       0:00.638	  0.055	 -0.010
       0:00.640	  0.060	 -0.010
       0:00.642	  0.055	 -0.010
       0:00.644	  0.035	 -0.010
       0:00.646	  0.025	 -0.010
       0:00.648	  0.030	 -0.015
       0:00.650	  0.020	 -0.015
       0:00.652	  0.030	 -0.020
       0:00.654	  0.050	 -0.025
       0:00.656	  0.030	 -0.030
       0:00.658	  0.040	 -0.030
       0:00.660	  0.050	 -0.030
       0:00.662	  0.040	 -0.030
       0:00.664	  0.025	 -0.030
       0:00.666	  0.000	 -0.025
       0:00.668	 -0.010	 -0.025
       0:00.670	 -0.025	 -0.030
       0:00.672	 -0.030	 -0.035
       0:00.674	 -0.025	 -0.040
       0:00.676	 -0.015	 -0.045
       0:00.678	 -0.005	 -0.045
       0:00.680	  0.030	 -0.035
       0:00.682	  0.065	 -0.015
       0:00.684	  0.110	  0.025
       0:00.686	  0.160	  0.075
       0:00.688	  0.200	  0.140
       0:00.690	  0.255	  0.220
       0:00.692	  0.335	  0.305
       0:00.694	  0.425	  0.390
       0:00.696	  0.530	  0.470
       0:00.698	  0.645	  0.535
       0:00.700	  0.720	  0.590
       0:00.702	  0.735	  0.620
       0:00.704	  0.685	  0.625
       0:00.706	  0.630	  0.600
       0:00.708	  0.570	  0.555
       0:00.710	  0.485	  0.485
       0:00.712	  0.410	  0.395
       0:00.714	  0.335	  0.295
       0:00.716	  0.230	  0.190
       0:00.718	  0.100	  0.090
       0:00.720	  0.010	  0.000
       0:00.722	 -0.060	 -0.070
       0:00.724	 -0.100	 -0.120
       0:00.726	 -0.100	 -0.145
       0:00.728	 -0.090	 -0.150
       0:00.730	 -0.085	 -0.140
       0:00.732	 -0.060	 -0.115
       0:00.734	 -0.020	 -0.090
       0:00.736	  0.010	 -0.060
       0:00.738	  0.035	 -0.040
       0:00.740	  0.040	 -0.025
       0:00.742	  0.035	 -0.015
       0:00.744	  0.015	 -0.015
       0:00.746	 -0.005	 -0.020
       0:00.748	 -0.020	 -0.025
       0:00.750	 -0.025	 -0.035
       0:00.752	 -0.010	 -0.035
       0:00.754	  0.000	 -0.040
       0:00.756	  0.005	 -0.040
       0:00.758	  0.025	 -0.040
       0:00.760	  0.025	 -0.040
       0:00.762	  0.020	 -0.035
       0:00.764	  0.000	 -0.035
       0:00.766	  0.005	 -0.035
       0:00.768	 -0.015	 -0.040
       0:00.770	 -0.020	 -0.040
       0:00.772	 -0.010	 -0.040
       0:00.774	 -0.010	 -0.045
       0:00.776	  0.000	 -0.045
       0:00.778	  0.010	 -0.045
       0:00.780	  0.000	 -0.045
       0:00.782	  0.005	 -0.045
       0:00.784	  0.005	 -0.045
       0:00.786	 -0.005	 -0.040
       0:00.788	  0.000	 -0.040
       0:00.790	 -0.010	 -0.035
       0:00.792	  0.000	 -0.030
       0:00.794	  0.015	 -0.030
       0:00.796	  0.020	 -0.025
       0:00.798	  0.025	 -0.025
       0:00.800	  0.040	 -0.025
       0:00.802	  0.025	 -0.025
       0:00.804	  0.010	 -0.025
       0:00.806	  0.000	 -0.025
       0:00.808	 -0.005	 -0.025
       0:00.810	 -0.005	 -0.025
       0:00.812	  0.005	 -0.030
       0:00.814	  0.025	 -0.030
       0:00.816	  0.025	 -0.030
       0:00.818	  0.030	 -0.030
       0:00.820	  0.025	 -0.025
       0:00.822	  0.010	 -0.025
       0:00.824	  0.020	 -0.020
       0:00.826	  0.005	 -0.020
       0:00.828	  0.010	 -0.015
       0:00.830	  0.005	 -0.010
       0:00.832	  0.015	 -0.010
       0:00.834	  0.020	 -0.010
       0:00.836	  0.035	 -0.010
       0:00.838	  0.040	 -0.010
       0:00.840	  0.050	 -0.010
       0:00.842	  0.050	 -0.010
       0:00.844	  0.045	 -0.010
       0:00.846	  0.040	 -0.010
       0:00.848	  0.025	 -0.005
       0:00.850	  0.030	  0.000
       0:00.852	  0.030	  0.005
       0:00.854	  0.040	  0.010
       0:00.856	  0.045	  0.015
       0:00.858	  0.055	  0.020
       0:00.860	  0.060	  0.025
       0:00.862	  0.065	  0.025
       0:00.864	  0.065	  0.030
       0:00.866	  0.070	  0.030
       0:00.868	  0.070	  0.035
       0:00.870	  0.065	  0.040
       0:00.872	  0.080	  0.045
       0:00.874	  0.095	  0.050
       0:00.876	  0.105	  0.055
       0:00.878	  0.105	  0.065
       0:00.880	  0.120	  0.070
       0:00.882	  0.115	  0.070
       0:00.884	  0.115	  0.075
       0:00.886	  0.110	  0.075
       0:00.888	  0.100	  0.075
       0:00.890	  0.100	  0.075
       0:00.892	  0.115	  0.075
       0:00.894	  0.130	  0.080
       0:00.896	  0.150	  0.085
       0:00.898	  0.155	  0.090
       0:00.900	  0.160	  0.095
       0:00.902	  0.150	  0.105
       0:00.904	  0.160	  0.115
       0:00.906	  0.165	  0.120
       0:00.908	  0.155	  0.130
       0:00.910	  0.160	  0.135
       0:00.912	  0.175	  0.140
       0:00.914	  0.200	  0.140
       0:00.916	  0.205	  0.145
       0:00.918	  0.210	  0.145
       0:00.920	  0.205	  0.145
       0:00.922	  0.195	  0.145
       0:00.924	  0.185	  0.145
       0:00.926	  0.180	  0.150
       0:00.928	  0.180	  0.150
       0:00.930	  0.180	  0.155
       0:00.932	  0.180	  0.160
       0:00.934	  0.200	  0.165
       0:00.936	  0.205	  0.170
       0:00.938	  0.205	  0.175
       0:00.940	  0.195	  0.175
       0:00.942	  0.170	  0.170
       0:00.944	  0.150	  0.165
       0:00.946	  0.135	  0.155
       0:00.948	  0.130	  0.140
       0:00.950	  0.125	  0.130
       0:00.952	  0.130	  0.120
       0:00.954	  0.115	  0.115
       0:00.956	  0.130	  0.110
       0:00.958	  0.130	  0.105
       0:00.960	  0.115	  0.100
       0:00.962	  0.095	  0.095
       0:00.964	  0.080	  0.085
       0:00.966	  0.070	  0.075
       0:00.968	  0.055	  0.060
       0:00.970	  0.030	  0.045
       0:00.972	  0.015	  0.030
       0:00.974	  0.025	  0.015
       0:00.976	  0.025	  0.005
       0:00.978	  0.020	 -0.005
       0:00.980	  0.010	 -0.005
       0:00.982	 -0.005	 -0.005
       0:00.984	 -0.020	 -0.005
       0:00.986	 -0.025	 -0.005
       0:00.988	 -0.035	 -0.005
       0:00.990	 -0.030	 -0.010
       0:00.992	 -0.010	 -0.015
       0:00.994	  0.000	 -0.025
       0:00.996	 -0.010	 -0.035
       0:00.998	 -0.005	 -0.040
