   Elapsed time	  ECG I	iltered
       0:00.320	 -0.215	 -0.140
       0:00.322	 -0.290	 -0.115
       0:00.324	 -0.350	 -0.100
       0:00.326	 -0.385	 -0.080
       0:00.328	 -0.370	 -0.070
       0:00.330	 -0.385	 -0.065
       0:00.332	 -0.395	 -0.060
       0:00.334	 -0.325	 -0.060
       0:00.336	 -0.285	 -0.060
       0:00.338	 -0.215	 -0.060
       0:00.340	 -0.175	 -0.055
       0:00.342	 -0.215	 -0.050
       0:00.344	 -0.260	 -0.045
       0:00.346	 -0.350	 -0.035
       0:00.348	 -0.345	 -0.030
       0:00.350	 -0.370	 -0.025
       0:00.352	 -0.330	 -0.025
       0:00.354	 -0.265	 -0.020
       0:00.356	 -0.230	 -0.020
       0:00.358	 -0.190	 -0.020
       0:00.360	 -0.195	 -0.020
       0:00.362	 -0.210	 -0.015
       0:00.364	 -0.270	 -0.010
       0:00.366	 -0.335	 -0.005
       0:00.368	 -0.300	 -0.005
       0:00.370	 -0.290	  0.000
       0:00.372	 -0.295	  0.000
       0:00.374	 -0.245	 -0.005
       0:00.376	 -0.155	 -0.010
       0:00.378	 -0.200	 -0.015
       0:00.380	 -0.200	 -0.015
       0:00.382	 -0.185	 -0.020
       0:00.384	 -0.235	 -0.020
       0:00.386	 -0.325	 -0.020
       0:00.388	 -0.360	 -0.015
       0:00.390	 -0.325	 -0.015
       0:00.392	 -0.300	 -0.010
       0:00.394	 -0.230	 -0.010
       0:00.396	 -0.210	 -0.005
       0:00.398	 -0.200	 -0.010
       0:00.400	 -0.195	 -0.010
       0:00.402	 -0.200	 -0.010
       0:00.404	 -0.250	 -0.010
       0:00.406	 -0.280	 -0.015
       0:00.408	 -0.345	 -0.015
       0:00.410	 -0.345	 -0.020
       0:00.412	 -0.330	 -0.020
       0:00.414	 -0.250	 -0.020
       0:00.416	 -0.185	 -0.025
       0:00.418	 -0.220	 -0.020
       0:00.420	 -0.185	 -0.020
       0:00.422	 -0.195	 -0.015
       0:00.424	 -0.270	 -0.005
       0:00.426	 -0.285	  0.005
       0:00.428	 -0.270	  0.020
       0:00.430	 -0.270	  0.030
       0:00.432	 -0.225	  0.040
       0:00.434	 -0.185	  0.045
       0:00.436	 -0.135	  0.050
       0:00.438	 -0.105	  0.050
       0:00.440	 -0.165	  0.045
       0:00.442	 -0.170	  0.040
       0:00.444	 -0.210	  0.035
       0:00.446	 -0.265	  0.030
       0:00.448	 -0.275	  0.025
       0:00.450	 -0.295	  0.025
       0:00.452	 -0.290	  0.030
       0:00.454	 -0.230	  0.030
       0:00.456	 -0.150	  0.040
       0:00.458	 -0.130	  0.045
       0:00.460	 -0.125	  0.050
       0:00.462	 -0.175	  0.060
       0:00.464	 -0.180	  0.065
       0:00.466	 -0.210	  0.075
       0:00.468	 -0.255	  0.085
       0:00.470	 -0.265	  0.090
       0:00.472	 -0.165	  0.095
       0:00.474	 -0.085	  0.100
       0:00.476	 -0.075	  0.100
       0:00.478	 -0.095	  0.100
       0:00.480	 -0.145	  0.095
       0:00.482	 -0.155	  0.090
       0:00.484	 -0.195	  0.090
       0:00.486	 -0.245	  0.090
       0:00.488	 -0.190	  0.090
       0:00.490	 -0.215	  0.095
       0:00.492	 -0.145	  0.105
       0:00.494	 -0.090	  0.120
       0:00.496	 -0.065	  0.135
       0:00.498	 -0.030	  0.150
       0:00.500	  0.010	  0.170
       0:00.502	 -0.030	  0.180
       0:00.504	 -0.080	  0.190
       0:00.506	 -0.145	  0.195
       0:00.508	 -0.120	  0.200
       0:00.510	 -0.110	  0.195
       0:00.512	 -0.080	  0.185
       0:00.514	 -0.075	  0.180
       0:00.516	 -0.085	  0.170
       0:00.518	 -0.075	  0.165
       0:00.520	  0.025	  0.160
       0:00.522	 -0.075	  0.155
       0:00.524	 -0.120	  0.155
       0:00.526	 -0.165	  0.155
       0:00.528	 -0.195	  0.160
       0:00.530	 -0.170	  0.160
       0:00.532	 -0.065	  0.160
       0:00.534	 -0.080	  0.160
       0:00.536	 -0.025	  0.155
       0:00.538	 -0.010	  0.150
       0:00.540	 -0.025	  0.145
       0:00.542	 -0.095	  0.140
       0:00.544	 -0.195	  0.130
       0:00.546	 -0.175	  0.125
       0:00.548	 -0.225	  0.120
       0:00.550	 -0.235	  0.110
       0:00.552	 -0.195	  0.100
       0:00.554	 -0.170	  0.090
       0:00.556	 -0.105	  0.075
       0:00.558	 -0.085	  0.065
       0:00.560	 -0.140	  0.050
       0:00.562	 -0.215	  0.035
       0:00.564	 -0.280	  0.025
       0:00.566	 -0.305	  0.020
       0:00.568	 -0.285	  0.015
       0:00.570	 -0.310	  0.015
       0:00.572	 -0.265	  0.015
       0:00.574	 -0.195	  0.015
       0:00.576	 -0.160	  0.015
       0:00.578	 -0.120	  0.010
       0:00.580	 -0.185	  0.005
       0:00.582	 -0.210	 -0.005
       0:00.584	 -0.320	 -0.015
       0:00.586	 -0.365	 -0.025
       0:00.588	 -0.435	 -0.035
       0:00.590	 -0.360	 -0.040
       0:00.592	 -0.310	 -0.045
       0:00.594	 -0.240	 -0.050
       0:00.596	 -0.200	 -0.045
       0:00.598	 -0.185	 -0.045
       0:00.600	 -0.210	 -0.040
       0:00.602	 -0.260	 -0.035
       0:00.604	 -0.335	 -0.030
       0:00.606	 -0.350	 -0.025
       0:00.608	 -0.380	 -0.025
       0:00.610	 -0.305	 -0.025
       0:00.612	 -0.325	 -0.030
       0:00.614	 -0.300	 -0.035
       0:00.616	 -0.255	 -0.040
       0:00.618	 -0.195	 -0.045
       0:00.620	 -0.235	 -0.055
       0:00.622	 -0.315	 -0.060
       0:00.624	 -0.330	 -0.060
       0:00.626	 -0.390	 -0.065
       0:00.628	 -0.380	 -0.065
       0:00.630	 -0.395	 -0.070
       0:00.632	 -0.335	 -0.070
       0:00.634	 -0.315	 -0.070
       0:00.636	 -0.295	 -0.070
       0:00.638	 -0.245	 -0.070
       0:00.640	 -0.255	 -0.065
       0:00.642	 -0.295	 -0.060
       0:00.644	 -0.370	 -0.055
       0:00.646	 -0.390	 -0.045
       0:00.648	 -0.345	 -0.035
       0:00.650	 -0.305	 -0.025
       0:00.652	 -0.285	 -0.020
       0:00.654	 -0.150	 -0.015
       0:00.656	 -0.205	 -0.015
       0:00.658	 -0.230	 -0.020
       0:00.660	 -0.250	 -0.030
       0:00.662	 -0.330	 -0.040
       0:00.664	 -0.355	 -0.050
       0:00.666	 -0.405	 -0.065
       0:00.668	 -0.360	 -0.070
       0:00.670	 -0.370	 -0.075
       0:00.672	 -0.310	 -0.075
       0:00.674	 -0.255	 -0.070
       0:00.676	 -0.225	 -0.060
       0:00.678	 -0.205	 -0.050
       0:00.680	 -0.220	 -0.045
       0:00.682	 -0.300	 -0.035
       0:00.684	 -0.370	 -0.030
       0:00.686	 -0.385	 -0.030
       0:00.688	 -0.385	 -0.030
       0:00.690	 -0.340	 -0.030
       0:00.692	 -0.275	 -0.030
       0:00.694	 -0.240	 -0.030
       0:00.696	 -0.220	 -0.030
       0:00.698	 -0.185	 -0.030
       0:00.700	 -0.270	 -0.030
       0:00.702	 -0.260	 -0.035
       0:00.704	 -0.350	 -0.035
       0:00.706	 -0.375	 -0.035
       0:00.708	 -0.345	 -0.030
       0:00.710	 -0.330	 -0.025
       0:00.712	 -0.300	 -0.020
       0:00.714	 -0.210	 -0.015
       0:00.716	 -0.145	 -0.005
       0:00.718	 -0.170	  0.005
       0:00.720	 -0.230	  0.010
       0:00.722	 -0.325	  0.010
       0:00.724	 -0.300	  0.005
       0:00.726	 -0.345	  0.000
       0:00.728	 -0.270	 -0.010
       0:00.730	 -0.315	 -0.020
       0:00.732	 -0.245	 -0.030
       0:00.734	 -0.280	 -0.035
       0:00.736	 -0.255	 -0.035
       0:00.738	 -0.205	 -0.035
       0:00.740	 -0.185	 -0.030
       0:00.742	 -0.285	 -0.020
       0:00.744	 -0.290	 -0.015
       0:00.746	 -0.350	 -0.005
       0:00.748	 -0.350	 -0.005
       0:00.750	 -0.345	  0.000
       0:00.752	 -0.260	 -0.005
       0:00.754	 -0.205	 -0.005
       0:00.756	 -0.190	 -0.010
       0:00.758	 -0.205	 -0.015
       0:00.760	 -0.260	 -0.015
       0:00.762	 -0.285	 -0.015
       0:00.764	 -0.335	 -0.015
       0:00.766	 -0.340	 -0.015
       0:00.768	 -0.360	 -0.015
       0:00.770	 -0.320	 -0.020
       0:00.772	 -0.285	 -0.020
       0:00.774	 -0.220	 -0.020
       0:00.776	 -0.180	 -0.020
       0:00.778	 -0.190	 -0.015
       0:00.780	 -0.250	 -0.015
       0:00.782	 -0.330	 -0.015
       0:00.784	 -0.340	 -0.015
       0:00.786	 -0.320	 -0.015
       0:00.788	 -0.335	 -0.020
       0:00.790	 -0.340	 -0.020
       0:00.792	 -0.250	 -0.025
       0:00.794	 -0.250	 -0.030
       0:00.796	 -0.205	 -0.030
       0:00.798	 -0.195	 -0.030
       0:00.800	 -0.215	 -0.030
       0:00.802	 -0.290	 -0.030
       0:00.804	 -0.375	 -0.030
       0:00.806	 -0.380	 -0.030
       0:00.808	 -0.340	 -0.035
       0:00.810	 -0.355	 -0.040
       0:00.812	 -0.300	 -0.045
       0:00.814	 -0.245	 -0.050
       0:00.816	 -0.215	 -0.050
       0:00.818	 -0.220	 -0.050
       0:00.820	 -0.260	 -0.050
       0:00.822	 -0.310	 -0.045
       0:00.824	 -0.355	 -0.035
       0:00.826	 -0.340	 -0.025
       0:00.828	 -0.340	 -0.020
       0:00.830	 -0.270	 -0.015
       0:00.832	 -0.285	 -0.015
       0:00.834	 -0.235	 -0.020
       0:00.836	 -0.195	 -0.030
       0:00.838	 -0.250	 -0.040
       0:00.840	 -0.300	 -0.045
       0:00.842	 -0.315	 -0.050
       0:00.844	 -0.340	 -0.050
       0:00.846	 -0.385	 -0.050
       0:00.848	 -0.360	 -0.040
       0:00.850	 -0.335	 -0.035
       0:00.852	 -0.245	 -0.030
       0:00.854	 -0.250	 -0.025
       0:00.856	 -0.240	 -0.030
       0:00.858	 -0.270	 -0.035
       0:00.860	 -0.270	 -0.040
       0:00.862	 -0.325	 -0.050
       0:00.864	 -0.415	 -0.055
       0:00.866	 -0.375	 -0.060
       0:00.868	 -0.355	 -0.055
       0:00.870	 -0.330	 -0.050
       0:00.872	 -0.225	 -0.040
       0:00.874	 -0.195	 -0.030
       0:00.876	 -0.205	 -0.020
       0:00.878	 -0.270	 -0.015
       0:00.880	 -0.290	 -0.015
       0:00.882	 -0.325	 -0.020
       0:00.884	 -0.390	 -0.030
       0:00.886	 -0.345	 -0.040
       0:00.888	 -0.320	 -0.050
       0:00.890	 -0.350	 -0.055
       0:00.892	 -0.305	 -0.060
       0:00.894	 -0.280	 -0.060
       0:00.896	 -0.235	 -0.055
       0:00.898	 -0.235	 -0.050
       0:00.900	 -0.230	 -0.040
       0:00.902	 -0.320	 -0.030
       0:00.904	 -0.350	 -0.025
       0:00.906	 -0.380	 -0.020
       0:00.908	 -0.375	 -0.020
       0:00.910	 -0.305	 -0.025
       0:00.912	 -0.270	 -0.030
       0:00.914	 -0.250	 -0.035
       0:00.916	 -0.250	 -0.040
       0:00.918	 -0.275	 -0.040
       0:00.920	 -0.315	 -0.040
       0:00.922	 -0.330	 -0.035
       0:00.924	 -0.350	 -0.030
       0:00.926	 -0.355	 -0.025
       0:00.928	 -0.355	 -0.020
       0:00.930	 -0.290	 -0.020
       0:00.932	 -0.260	 -0.020
       0:00.934	 -0.245	 -0.025
       0:00.936	 -0.230	 -0.030
       0:00.938	 -0.245	 -0.035
       0:00.940	 -0.280	 -0.040
       0:00.942	 -0.360	 -0.040
       0:00.944	 -0.375	 -0.040
       0:00.946	 -0.365	 -0.040
       0:00.948	 -0.375	 -0.035
       0:00.950	 -0.285	 -0.035
       0:00.952	 -0.160	 -0.030
       0:00.954	 -0.235	 -0.030
       0:00.956	 -0.220	 -0.030
       0:00.958	 -0.275	 -0.030
       0:00.960	 -0.300	 -0.030
       0:00.962	 -0.345	 -0.030
       0:00.964	 -0.350	 -0.030
       0:00.966	 -0.375	 -0.030
       0:00.968	 -0.375	 -0.030
       0:00.970	 -0.275	 -0.025
       0:00.972	 -0.235	 -0.020
       0:00.974	 -0.230	 -0.020
       0:00.976	 -0.215	 -0.020
       0:00.978	 -0.220	 -0.025
       0:00.980	 -0.260	 -0.030
       0:00.982	 -0.355	 -0.030
       0:00.984	 -0.405	 -0.030
       0:00.986	 -0.385	 -0.025
       0:00.988	 -0.320	 -0.015
       0:00.990	 -0.245	 -0.005
       0:00.992	 -0.190	  0.005
       0:00.994	 -0.165	  0.015
       0:00.996	 -0.165	  0.025
       0:00.998	 -0.200	  0.025
