   Elapsed time	  ECG I	iltered
       0:00.702	  0.080	 -0.080
       0:00.704	  0.180	 -0.090
       0:00.706	  0.375	 -0.095
       0:00.708	  0.495	 -0.100
       0:00.710	  0.545	 -0.100
       0:00.712	  0.490	 -0.095
       0:00.714	  0.465	 -0.085
       0:00.716	  0.255	 -0.075
       0:00.718	  0.115	 -0.060
       0:00.720	  0.060	 -0.050
       0:00.722	  0.185	 -0.045
       0:00.724	  0.280	 -0.045
       0:00.726	  0.395	 -0.055
       0:00.728	  0.545	 -0.070
       0:00.730	  0.535	 -0.090
       0:00.732	  0.525	 -0.110
       0:00.734	  0.450	 -0.120
       0:00.736	  0.200	 -0.125
       0:00.738	  0.010	 -0.125
       0:00.740	  0.000	 -0.115
       0:00.742	  0.110	 -0.105
       0:00.744	  0.215	 -0.090
       0:00.746	  0.410	 -0.080
       0:00.748	  0.580	 -0.080
       0:00.750	  0.585	 -0.085
       0:00.752	  0.520	 -0.095
       0:00.754	  0.410	 -0.105
       0:00.756	  0.185	 -0.120
       0:00.758	  0.055	 -0.125
       0:00.760	  0.010	 -0.125
       0:00.762	  0.070	 -0.120
       0:00.764	  0.260	 -0.110
       0:00.766	  0.445	 -0.095
       0:00.768	  0.565	 -0.085
       0:00.770	  0.560	 -0.075
       0:00.772	  0.560	 -0.070
       0:00.774	  0.430	 -0.070
       0:00.776	  0.225	 -0.070
       0:00.778	  0.075	 -0.080
       0:00.780	  0.035	 -0.085
       0:00.782	  0.100	 -0.090
       0:00.784	  0.230	 -0.090
       0:00.786	  0.465	 -0.090
       0:00.788	  0.540	 -0.090
       0:00.790	  0.565	 -0.095
       0:00.792	  0.525	 -0.100
       0:00.794	  0.440	 -0.105
       0:00.796	  0.210	 -0.110
       0:00.798	  0.010	 -0.115
       0:00.800	 -0.020	 -0.120
       0:00.802	  0.080	 -0.120
       0:00.804	  0.265	 -0.120
       0:00.806	  0.445	 -0.115
       0:00.808	  0.585	 -0.105
       0:00.810	  0.590	 -0.100
       0:00.812	  0.545	 -0.095
       0:00.814	  0.405	 -0.095
       0:00.816	  0.185	 -0.100
       0:00.818	  0.060	 -0.105
       0:00.820	  0.045	 -0.110
       0:00.822	  0.040	 -0.115
       0:00.824	  0.200	 -0.120
       0:00.826	  0.460	 -0.115
       0:00.828	  0.590	 -0.115
       0:00.830	  0.585	 -0.110
       0:00.832	  0.530	 -0.100
       0:00.834	  0.385	 -0.095
       0:00.836	  0.200	 -0.095
       0:00.838	  0.000	 -0.090
       0:00.840	  0.045	 -0.095
       0:00.842	  0.085	 -0.095
       0:00.844	  0.230	 -0.100
       0:00.846	  0.495	 -0.105
       0:00.848	  0.575	 -0.110
       0:00.850	  0.565	 -0.115
       0:00.852	  0.510	 -0.115
       0:00.854	  0.330	 -0.115
       0:00.856	  0.135	 -0.120
       0:00.858	  0.015	 -0.120
       0:00.860	  0.060	 -0.120
       0:00.862	  0.105	 -0.120
       0:00.864	  0.270	 -0.120
       0:00.866	  0.475	 -0.115
       0:00.868	  0.565	 -0.110
       0:00.870	  0.590	 -0.105
       0:00.872	  0.525	 -0.095
       0:00.874	  0.360	 -0.090
       0:00.876	  0.170	 -0.085
       0:00.878	  0.090	 -0.085
       0:00.880	  0.070	 -0.085
       0:00.882	  0.110	 -0.095
       0:00.884	  0.265	 -0.105
       0:00.886	  0.455	 -0.120
       0:00.888	  0.590	 -0.130
       0:00.890	  0.550	 -0.140
       0:00.892	  0.520	 -0.140
       0:00.894	  0.285	 -0.140
       0:00.896	  0.070	 -0.135
       0:00.898	  0.020	 -0.130
       0:00.900	  0.035	 -0.120
       0:00.902	  0.095	 -0.110
       0:00.904	  0.310	 -0.105
       0:00.906	  0.545	 -0.100
       0:00.908	  0.605	 -0.100
       0:00.910	  0.580	 -0.105
       0:00.912	  0.500	 -0.105
       0:00.914	  0.310	 -0.110
       0:00.916	  0.120	 -0.110
       0:00.918	  0.015	 -0.110
       0:00.920	  0.005	 -0.110
       0:00.922	  0.105	 -0.110
       0:00.924	  0.320	 -0.110
       0:00.926	  0.510	 -0.115
       0:00.928	  0.595	 -0.120
       0:00.930	  0.535	 -0.125
       0:00.932	  0.465	 -0.130
       0:00.934	  0.290	 -0.135
       0:00.936	  0.080	 -0.135
       0:00.938	  0.015	 -0.135
       0:00.940	  0.030	 -0.135
       0:00.942	  0.110	 -0.130
       0:00.944	  0.330	 -0.120
       0:00.946	  0.520	 -0.110
       0:00.948	  0.595	 -0.105
       0:00.950	  0.610	 -0.100
       0:00.952	  0.565	 -0.095
       0:00.954	  0.300	 -0.090
       0:00.956	  0.130	 -0.090
       0:00.958	  0.050	 -0.090
       0:00.960	  0.095	 -0.095
       0:00.962	  0.165	 -0.090
       0:00.964	  0.345	 -0.090
       0:00.966	  0.555	 -0.080
       0:00.968	  0.635	 -0.070
       0:00.970	  0.600	 -0.060
       0:00.972	  0.585	 -0.050
       0:00.974	  0.340	 -0.040
       0:00.976	  0.155	 -0.035
       0:00.978	  0.110	 -0.035
       0:00.980	  0.120	 -0.035
       0:00.982	  0.195	 -0.045
       0:00.984	  0.405	 -0.055
       0:00.986	  0.605	 -0.065
       0:00.988	  0.640	 -0.075
       0:00.990	  0.610	 -0.080
       0:00.992	  0.585	 -0.085
       0:00.994	  0.270	 -0.085
       0:00.996	  0.060	 -0.080
       0:00.998	 -0.005	 -0.080
